Identifier("hello") search:lexer/smoke:1:1
Operator(":=") search:lexer/smoke:1:7
Other('[') search:lexer/smoke:1:10
Number("1") search:lexer/smoke:1:11
Other(',') search:lexer/smoke:1:12
Number("2") search:lexer/smoke:1:13
Other(',') search:lexer/smoke:1:14
Number("31.5") search:lexer/smoke:1:15
Other(']') search:lexer/smoke:1:19
Other(';') search:lexer/smoke:1:20
Other('\\') search:lexer/smoke:1:21
Identifier("n") search:lexer/smoke:1:22
Identifier("z") search:lexer/smoke:1:24
Operator(":=") search:lexer/smoke:1:26
Other('\\') search:lexer/smoke:1:29
Error("Unterminated string literal") search:lexer/smoke:1:30
